Kata,Frekuensi,Jumlah Subtoken
aminn,32,2
keluhan2,32,2
rugikan,32,2
oye,32,2
adnya,32,2
ajh,31,2
terma,31,2
pascabanjir,31,4
msk,31,2
ngeluh,31,2
s2jb,31,3
terkonfirmasi,31,2
cater,31,2
anehh,31,2
fahami,31,2
aplication,31,2
wktu,31,2
tidk,31,2
oln,31,2
custumer,31,3
seenak,31,2
korsleting,31,4
commerce,31,3
kyak,31,2
gamau,31,2
dsini,31,2
plis,31,2
kluhan,31,2
sama2,31,2
woii,31,2
ktika,30,2
errornya,30,2
gratiss,30,2
improve,30,2
imformasi,30,2
tranfer,30,2
melporkan,30,3
rekom,30,2
enakan,30,2
sekrng,30,3
intuitif,30,2
bravoo,30,3
listrikku,30,2
ajuin,30,2
rivai,30,2
ckp,30,2
lindungan,30,2
pelanggn,30,2
banyakk,30,2
sukaa,30,2
swafoto,30,3
subsidinya,30,2
sayah,30,2
tersampaikan,30,2
trivia,30,2
kehandalan,30,2
sehari2,30,2
memudahakan,30,3
dangan,30,2
buanget,30,2
menanganinya,29,2
anjir,29,2
korslet,29,3
kadaluwarsa,29,2
bugnya,29,2
ktnya,29,2
nanganin,29,3
poinnya,29,2
dilacak,29,2
nomornya,29,2
ngangguan,29,2
stroomnet,29,3
membabtu,29,3
nian,29,2
gratisnya,29,2
selsai,29,2
jobb,29,2
coy,29,2
nganguan,29,3
nyh,29,2
hal2,29,2
semangatt,29,2
jelas2,29,2
boro,29,2
developernya,29,2
mmpermudah,29,3
cangih,29,3
ibu2,29,2
mintak,29,2
diriwayat,29,2
dapt,29,2
ntuk,29,2
sangst,28,2
masing2,28,2
kmaren,28,2
perbulannya,28,2
mudah2,28,2
napa,28,2
jwb,28,2
datang2,28,2
habisin,28,2
piye,28,2
rekomendet,28,2
seharus,28,2
dibulan,28,2
3hari,28,2
450va,28,2
peraktis,28,2
lancar2,28,2
respek,28,2
smacamnya,28,3
tekhnisi,28,3
ditambahin,28,2
ngotak,28,2
aduannya,28,2
tertolong,28,2
tgihan,28,2
duper,28,2
standby,28,2
5rb,28,2
panakkukang,28,4
abal2,27,2
aetra,27,2
aplikai,27,2
tingal,27,2
apllikasi,27,2
iconnetnya,27,3
mantepp,27,2
sanggul,27,2
yambung,27,2
trimks,27,2
lemott,27,2
masyarat,27,2
dsni,27,2
sempurnakan,27,2
dimna,27,2
thks,27,2
tmpt,27,2
lapuran,27,2
goblok,27,2
majuu,27,2
bbrapa,27,3
atik,27,2
menginformasi,27,2
bukak,27,2
petugas2,27,2
stengah,27,3
diroot,27,3
emergency,27,2
lemotnya,27,2
instalatir,27,3
nipu,27,2
troble,27,2
okelah,27,2
semngat,27,3
ikn,27,2
mentong,27,2
turunin,27,2
siau,27,2
1bulan,27,2
berulang2,27,2
bngett,27,2
hny,27,2
ragukan,27,2
nyo,27,2
jelass,27,2
kepake,27,2
masalahku,27,2
luarr,27,2
ampar,26,2
trmkasih,26,3
waah,26,2
apalgi,26,3
kordinasi,26,3
ketidaknyamannya,26,3
lsp,26,2
bls,26,2
apilkasi,26,4
kaki2,26,2
reminder,26,3
gapake,26,2
pokona,26,2
100k,26,2
pemberitahuannya,26,2
petugase,26,2
memabantu,26,3
sekalinya,26,2
daftarin,26,2
gmpang,26,2
bguss,26,2
petunjuknya,26,2
pengadun,26,3
stater,26,2
nelp,26,2
debet,26,2
layanin,26,2
ujung2,26,2
pmbayaran,26,3
yanbu,26,2
paylater,26,3
capek2,26,2
riwayatnya,26,2
jawabanya,26,2
reting,26,2
perna,26,2
