Istilah,Frekuensi korpus domain-spesifik,Frekuensi Indo4B,Per sejuta korpus domain-spesifik,Per sejuta Indo4B,Log likelihood,Lebih khas pada,Signifikan,Istilah kelistrikan
buka,1760,398100,579.54,121.52,2712.0,Domain-spesifik,ya,tidak
sopan,933,94849,307.22,28.95,2709.66,Domain-spesifik,ya,tidak
segala,3150,1143361,1037.25,349.02,2678.05,Domain-spesifik,ya,tidak
terpotong,495,13413,163.0,4.09,2665.0,Domain-spesifik,ya,tidak
pak,2444,753538,804.77,230.02,2626.75,Domain-spesifik,ya,tidak
lbh,600,28062,197.57,8.57,2606.33,Domain-spesifik,ya,tidak
slalu,504,15557,165.96,4.75,2587.89,Domain-spesifik,ya,tidak
tau,1951,509267,642.44,155.46,2574.49,Domain-spesifik,ya,tidak
status,1596,345840,525.54,105.57,2567.86,Domain-spesifik,ya,tidak
kasi,614,31315,202.18,9.56,2566.67,Domain-spesifik,ya,tidak
menangani,1159,174403,381.64,53.24,2565.49,Domain-spesifik,ya,tidak
pahami,784,65110,258.16,19.88,2565.24,Domain-spesifik,ya,tidak
dateng,540,20400,177.81,6.23,2564.6,Domain-spesifik,ya,tidak
permasalahan,1664,376466,547.93,114.92,2563.51,Domain-spesifik,ya,tidak
masukin,509,16573,167.61,5.06,2561.64,Domain-spesifik,ya,tidak
menu,2051,561569,675.37,171.42,2559.38,Domain-spesifik,ya,tidak
percuma,631,34496,207.78,10.53,2555.22,Domain-spesifik,ya,tidak
solusi,1844,462743,607.2,141.25,2543.84,Domain-spesifik,ya,tidak
kecewa,1122,164990,369.46,50.36,2527.99,Domain-spesifik,ya,tidak
maaf,1847,469046,608.19,143.18,2514.38,Domain-spesifik,ya,tidak
atas,7321,4132095,2410.7,1261.34,2500.38,Domain-spesifik,ya,tidak
belum,5957,3113365,1961.56,950.37,2488.68,Domain-spesifik,ya,tidak
konsumen,2029,563813,668.12,172.11,2487.41,Domain-spesifik,ya,tidak
pemberitahuan,906,102490,298.33,31.29,2457.79,Domain-spesifik,ya,tidak
riwayat,1063,152036,350.03,46.41,2445.92,Domain-spesifik,ya,tidak
bener,1053,153103,346.74,46.74,2393.02,Domain-spesifik,ya,tidak
beres,667,47620,219.63,14.54,2368.42,Domain-spesifik,ya,tidak
instal,629,40385,207.12,12.33,2357.65,Domain-spesifik,ya,tidak
terkait,2540,870279,836.39,265.66,2356.27,Domain-spesifik,ya,tidak
mimin,501,19451,164.97,5.94,2353.32,Domain-spesifik,ya,tidak
mengajukan,1128,184408,371.43,56.29,2337.64,Domain-spesifik,ya,tidak
cuma,2206,702306,726.4,214.38,2270.84,Domain-spesifik,ya,tidak
biasa,3904,1760567,1285.53,537.42,2262.95,Domain-spesifik,ya,tidak
berbagai,947,3496007,311.83,1067.17,2256.04,Indo4B,ya,tidak
jadi,1599,4650668,526.53,1419.64,2250.99,Indo4B,ya,tidak
siaga,593,37614,195.27,11.48,2236.15,Domain-spesifik,ya,tidak
call,853,102067,280.88,31.16,2228.96,Domain-spesifik,ya,tidak
dipahami,1007,153750,331.59,46.93,2203.95,Domain-spesifik,ya,tidak
smua,488,20948,160.69,6.39,2199.12,Domain-spesifik,ya,tidak
terdepan,602,41253,198.23,12.59,2183.43,Domain-spesifik,ya,tidak
lagi,1900,5068614,625.64,1547.22,2155.21,Indo4B,ya,tidak
subsidi,648,53837,213.38,16.43,2119.77,Domain-spesifik,ya,tidak
membuat,2355,5764305,775.47,1759.58,2116.49,Indo4B,ya,tidak
pertama,674,2865227,221.94,874.62,2114.23,Indo4B,ya,tidak
bulanan,781,89309,257.17,27.26,2103.67,Domain-spesifik,ya,tidak
ubah,784,91140,258.16,27.82,2088.81,Domain-spesifik,ya,tidak
atasi,599,48508,197.24,14.81,1987.64,Domain-spesifik,ya,tidak
sendiri,1501,4238284,494.26,1293.75,1965.89,Indo4B,ya,tidak
minta,1542,416984,507.76,127.29,1952.84,Domain-spesifik,ya,tidak
telepon,1450,373532,477.46,114.02,1942.37,Domain-spesifik,ya,tidak
set,1111,221371,365.84,67.57,1937.6,Domain-spesifik,ya,tidak
user,964,163685,317.43,49.97,1936.19,Domain-spesifik,ya,tidak
mandiri,1446,375957,476.15,114.76,1916.76,Domain-spesifik,ya,tidak
biaya,3264,1469743,1074.79,448.65,1897.67,Domain-spesifik,ya,tidak
membayar,1458,386532,480.1,117.99,1889.8,Domain-spesifik,ya,tidak
mengecek,727,88023,239.39,26.87,1884.54,Domain-spesifik,ya,tidak
mending,517,36084,170.24,11.01,1857.52,Domain-spesifik,ya,tidak
online,1582,4272456,520.93,1304.19,1852.31,Indo4B,ya,tidak
jelek,722,88767,237.74,27.1,1852.05,Domain-spesifik,ya,tidak
handal,749,97663,246.64,29.81,1843.92,Domain-spesifik,ya,tidak
semenjak,740,95641,243.67,29.19,1833.21,Domain-spesifik,ya,tidak
informasi,5011,2760077,1650.05,842.53,1829.48,Domain-spesifik,ya,tidak
jgn,482,30653,158.72,9.36,1815.24,Domain-spesifik,ya,tidak
live,1005,194602,330.93,59.4,1799.62,Domain-spesifik,ya,tidak
efisien,948,172249,312.16,52.58,1796.9,Domain-spesifik,ya,tidak
email,1681,525211,553.53,160.32,1774.99,Domain-spesifik,ya,tidak
nih,1174,272640,386.58,83.22,1760.44,Domain-spesifik,ya,tidak
konfirmasi,774,113089,254.87,34.52,1752.45,Domain-spesifik,ya,tidak
ktp,789,118729,259.81,36.24,1746.45,Domain-spesifik,ya,ya
payah,596,60579,196.25,18.49,1731.12,Domain-spesifik,ya,tidak
